22,29,342,15.9,0.632,0.567,0.507,0.027,10.3,16.6,13.4,5.2,2.0,3.5,15.6,14.7,120,105,0.7,0.4,1.1,0.157
26,52,713,13.4,0.493,0.429,0.595,0.012,10.6,21.2,15.7,8.3,1.3,3.1,13.1,15.6,105,109,0.5,0.4,1.0,0.064
27,64,2307,13.0,0.527,0.478,0.246,0.265,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,102,112,1.5,0.5,2.0,0.042
26,3,9,15.3,0.625,0.625,0.000,0.500,0.0,12.1,6.2,19.4,0.0,0.0,0.0,20.3,130,111,0.0,0.0,0.0,0.196
24,45,388,11.1,0.563,0.550,0.250,0.000,8.7,26.7,17.7,3.4,0.7,4.6,20.6,12.7,102,105,0.1,0.4,0.6,0.070
24,30,213,7.3,0.532,0.535,0.209,0.000,6.5,23.7,15.2,4.1,0.7,3.2,23.0,12.5,92,105,-0.1,0.3,0.2,0.038
24,15,175,15.7,0.598,0.568,0.297,0.000,11.5,30.4,20.7,2.6,0.6,6.3,17.7,12.9,112,106,0.2,0.2,0.4,0.109
27,74,2790,20.4,0.530,0.485,0.264,0.011,7.2,20.9,14.0,13.0,1.2,2.5,8.9,26.5,108,107,4.8,2.3,7.2,0.124
23,79,1669,11.5,0.474,0.454,0.132,0.002,10.5,16.5,13.4,6.7,0.8,2.6,10.3,14.8,103,106,0.9,1.6,2.5,0.072
37,79,2035,14.7,0.599,0.555,0.243,0.510,2.6,10.1,6.6,10.2,1.7,0.6,12.5,19.3,112,107,3.4,1.9,5.4,0.126
31,79,2109,13.2,0.489,0.447,0.293,0.038,6.6,13.8,10.2,7.6,3.1,1.7,11.5,17.8,102,98,1.0,4.1,5.1,0.115
22,76,2066,13.7,0.519,0.479,0.289,0.040,7.9,26.2,16.9,7.8,2.4,2.1,17.8,14.6,101,105,0.7,2.4,3.1,0.073
30,39,372,9.3,0.392,0.395,0.444,0.000,14.7,18.7,16.7,4.5,2.3,2.6,16.4,14.2,89,105,-0.3,0.4,0.1,0.019
