Ben Hansbrough,6.3,IND
Devin Harris,6.3,ATL
Kirk Hinrich,6.3,CHI
Jarrett Jack,6.3,GSW
Reggie Jackson,6.3,OKC
Cory Joseph,6.3,SAS
Jeremy Lin,6.3,HOU
Shelvin Mack,6.3,ATL
Steve Nash,6.3,LAL
Pablo Prigioni,6.3,NYK
Tyshawn Taylor,6.3,BRK
Russell Westbrook,6.3,OKC
Deron Williams,6.3,BRK
Avery Bradley,6.2,BOS
Norris Cole,6.2,MIA
George Hill,6.2,IND
Andre Miller,6.2,DEN
Tony Parker,6.2,SAS
Jeff Teague,6.2,ATL
Marquis Teague,6.2,CHI
Jason Terry,6.2,BOS
C.J. Watson,6.2,BRK
Patrick Beverley,6.1,HOU
Eric Bledsoe,6.1,LAC
Mario Chalmers,6.1,MIA
Mike Conley,6.1,MEM
Chris Duhon,6.1,LAL
Raymond Felton,6.1,NYK
Derek Fisher,6.1,OKC
Brandon Jennings,6.1,MIL
Scott Machado,6.1,GSW
D.J. Augustin,6.0,IND
Aaron Brooks,6.0,HOU
Patrick Mills,6.0,SAS
Chris Paul,6.0,LAC
Ishmael Smith,6.0,MIL
Ty Lawson,5.11,DEN
Nate Robinson,5.9,CHI
